p0_p4/6


p0_C0

p0_C0	 <---> p4/6_C0	 Total Correlation: 0.2978820234023938	 Name: Inhibitory
p0_C0	 <---> p4/6_C2	 Total Correlation: 0.31083654992976434	 Name: Inhibitory
p0_C0	 <---> p4/6_C5	 Total Correlation: 0.41350192624196974	 Name: Inhibitory
p0_C0	 <---> p4/6_C9	 Total Correlation: 0.4288472743912789	 Name: Inhibitory
p0_C0	 <---> p4/6_C4	 Total Correlation: 0.43754957529575156	 Name: Inhibitory
p0_C0	 <---> p4/6_C6	 Total Correlation: 0.5611880170433665	 Name: Inhibitory
p0_C0	 <---> p4/6_C1	 Total Correlation: 0.8116925999203353	 Name: 
p0_C0	 <---> p4/6_C8	 Total Correlation: 0.9704900916728383	 Name: Inhibitory
p0_C0	 <---> p4/6_C7	 Total Correlation: 1.8484803172567783	 Name: 
p0_C0	 <---> p4/6_C3	 Total Correlation: 3.1650813439252246	 Name: 
p0_C0	 <---> p4/6_C10	 Total Correlation: 5.973651628928568	 Name: 


p0_C1

p0_C1	 <---> p4/6_C9	 Total Correlation: 1.021092197589215	 Name: Inhibitory
p0_C1	 <---> p4/6_C0	 Total Correlation: 1.1389701246308277	 Name: Inhibitory
p0_C1	 <---> p4/6_C8	 Total Correlation: 1.2450251961498027	 Name: Inhibitory
p0_C1	 <---> p4/6_C4	 Total Correlation: 1.2741323192978902	 Name: Inhibitory
p0_C1	 <---> p4/6_C2	 Total Correlation: 1.3174749641223966	 Name: Inhibitory
p0_C1	 <---> p4/6_C6	 Total Correlation: 1.357630396294691	 Name: Inhibitory
p0_C1	 <---> p4/6_C5	 Total Correlation: 1.8759018565337355	 Name: Inhibitory
p0_C1	 <---> p4/6_C3	 Total Correlation: 3.3783438310807323	 Name: 
p0_C1	 <---> p4/6_C7	 Total Correlation: 6.249340187328133	 Name: 
p0_C1	 <---> p4/6_C10	 Total Correlation: 8.339603613882366	 Name: 
p0_C1	 <---> p4/6_C1	 Total Correlation: 8.52565086506584	 Name: 


p0_C2

p0_C2	 <---> p4/6_C3	 Total Correlation: 1.2471891017511967	 Name: Excitatory
p0_C2	 <---> p4/6_C7	 Total Correlation: 1.5114279322851012	 Name: Excitatory
p0_C2	 <---> p4/6_C1	 Total Correlation: 1.5563840070128043	 Name: Excitatory
p0_C2	 <---> p4/6_C10	 Total Correlation: 1.6628688037082662	 Name: Excitatory
p0_C2	 <---> p4/6_C9	 Total Correlation: 2.157827878605771	 Name: 
p0_C2	 <---> p4/6_C8	 Total Correlation: 3.5741032827390593	 Name: 
p0_C2	 <---> p4/6_C0	 Total Correlation: 5.883447742579005	 Name: 
p0_C2	 <---> p4/6_C6	 Total Correlation: 6.396894235380319	 Name: 
p0_C2	 <---> p4/6_C2	 Total Correlation: 6.8530224664889365	 Name: Excitatory
