p10_p15


p10_C0

p10_C0	 <---> p15_C13	 Total Correlation: 0.09287994554115406	 Name: 
p10_C0	 <---> p15_C2	 Total Correlation: 0.09953403403558281	 Name: 
p10_C0	 <---> p15_C10	 Total Correlation: 0.11816672203707174	 Name: 
p10_C0	 <---> p15_C9	 Total Correlation: 0.12385687335305547	 Name: 
p10_C0	 <---> p15_C5	 Total Correlation: 0.1294822945734099	 Name: 
p10_C0	 <---> p15_C3	 Total Correlation: 0.20681992626443418	 Name: 
p10_C0	 <---> p15_C8	 Total Correlation: 0.21154119159421653	 Name: 
p10_C0	 <---> p15_C0	 Total Correlation: 0.23422906313759384	 Name: 
p10_C0	 <---> p15_C7	 Total Correlation: 0.25172061522789496	 Name: 
p10_C0	 <---> p15_C1	 Total Correlation: 0.2546836701003304	 Name: 
p10_C0	 <---> p15_C6	 Total Correlation: 1.3679766037855359	 Name: 
p10_C0	 <---> p15_C12	 Total Correlation: 2.3338045507873835	 Name: 
p10_C0	 <---> p15_C4	 Total Correlation: 2.6243489737050556	 Name: 
p10_C0	 <---> p15_C11	 Total Correlation: 4.660941614961238	 Name: 


p10_C1

p10_C1	 <---> p15_C8	 Total Correlation: 0.3742493585040064	 Name: Inhibitory
p10_C1	 <---> p15_C11	 Total Correlation: 0.451043890367256	 Name: Inhibitory
p10_C1	 <---> p15_C4	 Total Correlation: 0.7818926142997599	 Name: Inhibitory
p10_C1	 <---> p15_C1	 Total Correlation: 0.8576772221211788	 Name: Inhibitory
p10_C1	 <---> p15_C7	 Total Correlation: 1.3121825566461787	 Name: 
p10_C1	 <---> p15_C2	 Total Correlation: 1.379953410845515	 Name: Inhibitory
p10_C1	 <---> p15_C10	 Total Correlation: 1.7782025832117447	 Name: Inhibitory
p10_C1	 <---> p15_C5	 Total Correlation: 1.8971735907529776	 Name: 
p10_C1	 <---> p15_C9	 Total Correlation: 2.1358769790305083	 Name: 
p10_C1	 <---> p15_C12	 Total Correlation: 2.9148482618054348	 Name: 
p10_C1	 <---> p15_C0	 Total Correlation: 3.925129505242328	 Name: 
p10_C1	 <---> p15_C13	 Total Correlation: 5.059441684949142	 Name: 
p10_C1	 <---> p15_C3	 Total Correlation: 5.291527131756164	 Name: 
p10_C1	 <---> p15_C6	 Total Correlation: 20.27224483051117	 Name: 


p10_C2

p10_C2	 <---> p15_C6	 Total Correlation: 0.0	 Name: 
p10_C2	 <---> p15_C4	 Total Correlation: 0.1671803170466674	 Name: Inhibitory
p10_C2	 <---> p15_C8	 Total Correlation: 0.23207393857974246	 Name: Inhibitory
p10_C2	 <---> p15_C11	 Total Correlation: 0.3812094714193444	 Name: Inhibitory
p10_C2	 <---> p15_C2	 Total Correlation: 0.47150274410112053	 Name: Inhibitory
p10_C2	 <---> p15_C5	 Total Correlation: 0.48017241787784437	 Name: 
p10_C2	 <---> p15_C1	 Total Correlation: 0.5850789624754165	 Name: Inhibitory
p10_C2	 <---> p15_C10	 Total Correlation: 0.6345824456433927	 Name: Inhibitory
p10_C2	 <---> p15_C12	 Total Correlation: 0.9570072269408703	 Name: 
p10_C2	 <---> p15_C7	 Total Correlation: 1.013835920039081	 Name: 
p10_C2	 <---> p15_C9	 Total Correlation: 1.0353260702524414	 Name: 
p10_C2	 <---> p15_C13	 Total Correlation: 1.425924224789744	 Name: 
p10_C2	 <---> p15_C0	 Total Correlation: 1.6806872335376297	 Name: 
p10_C2	 <---> p15_C3	 Total Correlation: 4.704001030629517	 Name: 


p10_C3

p10_C3	 <---> p15_C4	 Total Correlation: 0.23824643556192102	 Name: 
p10_C3	 <---> p15_C2	 Total Correlation: 0.3297494297025865	 Name: 
p10_C3	 <---> p15_C5	 Total Correlation: 0.343357182415111	 Name: 
p10_C3	 <---> p15_C9	 Total Correlation: 0.3492052385367579	 Name: 
p10_C3	 <---> p15_C13	 Total Correlation: 0.3808434225510313	 Name: 
p10_C3	 <---> p15_C10	 Total Correlation: 0.4204936885503851	 Name: 
p10_C3	 <---> p15_C0	 Total Correlation: 0.596948550733626	 Name: 
p10_C3	 <---> p15_C7	 Total Correlation: 0.6108178997276746	 Name: 
p10_C3	 <---> p15_C8	 Total Correlation: 0.7489634371672752	 Name: 
p10_C3	 <---> p15_C3	 Total Correlation: 0.7653946156265818	 Name: 
p10_C3	 <---> p15_C12	 Total Correlation: 0.8578485507703724	 Name: 
p10_C3	 <---> p15_C6	 Total Correlation: 1.070652988426027	 Name: 
p10_C3	 <---> p15_C1	 Total Correlation: 1.0947723116374697	 Name: 
p10_C3	 <---> p15_C11	 Total Correlation: 1.6334699663696328	 Name: 


p10_C4

p10_C4	 <---> p15_C11	 Total Correlation: 0.0	 Name: 
p10_C4	 <---> p15_C13	 Total Correlation: 0.11019889991813936	 Name: Excitatory
p10_C4	 <---> p15_C9	 Total Correlation: 0.14542321011956943	 Name: Excitatory
p10_C4	 <---> p15_C5	 Total Correlation: 0.1454588154603874	 Name: Excitatory
p10_C4	 <---> p15_C10	 Total Correlation: 0.14720486995097445	 Name: Excitatory
p10_C4	 <---> p15_C2	 Total Correlation: 0.1654488177290699	 Name: 
p10_C4	 <---> p15_C0	 Total Correlation: 0.19696469027349472	 Name: Excitatory
p10_C4	 <---> p15_C3	 Total Correlation: 0.21224273029631716	 Name: Excitatory
p10_C4	 <---> p15_C7	 Total Correlation: 0.24472047092961788	 Name: Excitatory
p10_C4	 <---> p15_C1	 Total Correlation: 0.2623596569527163	 Name: 
