Molecular/Biological/Cellular Ontology Terms: 

GO:0005887      integral component of plasma membrane                                                                                    ['Kcnk9', 'Pcdh17']                     
GO:0005783      endoplasmic reticulum                                                                                                    ['Eef1g']                               
GO:0030030      cell projection organization                                                                                             ['Tubb4a']                              
R-MMU-9716542   Signaling by Rho GTPases, Miro GTPases and RHOBTB3                                                                       ['Tubb4a']                              
R-MMU-1640170   Cell Cycle                                                                                                               ['Tubb4a']                              
R-MMU-373760    L1CAM interactions                                                                                                       ['Tubb4a']                              
GO:0043025      neuronal cell body                                                                                                       ['Tubb4a']                              
GO:0042734      presynaptic membrane                                                                                                     ['Pcdh17']                              
R-MMU-109582    Hemostasis                                                                                                               ['Tubb4a']                              
GO:0000308      cytoplasmic cyclin-dependent protein kinase holoenzyme complex                                                           ['Cdk14']                               
R-MMU-380284    Loss of proteins required for interphase microtubule organization from the centrosome                                    ['Tubb4a']                              
GO:0004693      cyclin-dependent protein serine/threonine kinase activity                                                                ['Cdk14']                               
GO:0005200      structural constituent of cytoskeleton                                                                                   ['Tubb4a']                              
R-MMU-948021    Transport to the Golgi and subsequent modification                                                                       ['Tubb4a']                              
GO:0006813      potassium ion transport                                                                                                  ['Kcnk9']                               
R-MMU-68882     Mitotic Anaphase                                                                                                         ['Tubb4a']                              
GO:0003924      GTPase activity                                                                                                          ['Tubb4a']                              
R-MMU-8856688   Golgi-to-ER retrograde transport                                                                                         ['Tubb4a']                              
R-MMU-6811434   COPI-dependent Golgi-to-ER retrograde traffic                                                                            ['Tubb4a']                              
R-MMU-9612973   Autophagy                                                                                                                ['Tubb4a']                              
R-MMU-6811436   COPI-independent Golgi-to-ER retrograde traffic                                                                          ['Tubb4a']                              
GO:1904071      presynaptic active zone assembly                                                                                         ['Pcdh17']                              
R-MMU-5653656   Vesicle-mediated transport                                                                                               ['Tubb4a']                              
GO:0006811      monoatomic ion transport                                                                                                 ['Kcnk9']                               
GO:0000226      microtubule cytoskeleton organization                                                                                    ['Tubb4a']                              
GO:2000807      regulation of synaptic vesicle clustering                                                                                ['Pcdh17']                              
R-MMU-6811442   Intra-Golgi and retrograde Golgi-to-ER traffic                                                                           ['Tubb4a']                              
R-MMU-9675108   Nervous system development                                                                                               ['Tubb4a']                              
R-MMU-69275     G2/M Transition                                                                                                          ['Tubb4a']                              
R-MMU-380320    Recruitment of NuMA to mitotic centrosomes                                                                               ['Tubb4a']                              
R-MMU-392499    Metabolism of proteins                                                                                                   ['Eef1g', 'Tubb4a']                     
R-MMU-5617833   Cilium Assembly                                                                                                          ['Tubb4a']                              
GO:0000083      regulation of transcription involved in G1/S transition of mitotic cell cycle                                            ['Cdk14']                               
GO:0005525      GTP binding                                                                                                              ['Tubb4a']                              
R-MMU-422475    Axon guidance                                                                                                            ['Tubb4a']                              
GO:0031115      negative regulation of microtubule polymerization                                                                        ['Tubb4a']                              
R-MMU-2262752   Cellular responses to stress                                                                                             ['Tubb4a']                              
