Molecular/Biological/Cellular Ontology Terms: 

GO:0006400      tRNA modification                                                                                                        ['Thumpd1']                             
GO:0097490      sympathetic neuron projection extension                                                                                  ['Nrp2']                                
GO:0015012      heparan sulfate proteoglycan biosynthetic process                                                                        ['Hs3st3a1', 'Hs3st3b1', 'Hs2st1']      
GO:0031091      platelet alpha granule                                                                                                   ['Igf1']                                
GO:0060171      stereocilium membrane                                                                                                    ['Ripor2']                              
GO:0071560      cellular response to transforming growth factor beta stimulus                                                            ['Sox5', 'Mef2c']                       
GO:0002181      cytoplasmic translation                                                                                                  ['Cnbp']                                
GO:0051150      regulation of smooth muscle cell differentiation                                                                         ['Zeb1']                                
GO:0030544      Hsp70 protein binding                                                                                                    ['Cd24a']                               
GO:0071407      cellular response to organic cyclic compound                                                                             ['Btrc']                                
GO:0048665      neuron fate specification                                                                                                ['Otx2', 'Pou3f2']                      
GO:0030177      positive regulation of Wnt signaling pathway                                                                             ['Wnt3', 'Dixdc1']                      
R-MMU-8856688   Golgi-to-ER retrograde transport                                                                                         ['Tubb4a']                              
R-MMU-6811434   COPI-dependent Golgi-to-ER retrograde traffic                                                                            ['Tubb4a']                              
GO:0016188      synaptic vesicle maturation                                                                                              ['Unc13c']                              
GO:0021675      nerve development                                                                                                        ['Nrp2']                                
GO:0006695      cholesterol biosynthetic process                                                                                         ['Hmgcs1', 'Hmgcr']                     
GO:0009143      nucleoside triphosphate catabolic process                                                                                ['Itpa']                                
R-MMU-446193    Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein    ['St8sia2', 'St6galnac5', 'St6gal2']    
R-MMU-6791312   TP53 Regulates Transcription of Cell Cycle Genes                                                                         ['Cnot7']                               
GO:0009791      post-embryonic development                                                                                               ['Lhx1', 'Foxp2']                       
R-MMU-8868773   rRNA processing in the nucleus and cytosol                                                                               ['Rpp25']                               
R-MMU-112043    PLC beta mediated events                                                                                                 ['Adcy8', 'Prkca']                      
GO:0033612      receptor serine/threonine kinase binding                                                                                 ['Magi2']                               
R-MMU-5654221   Phospholipase C-mediated cascade; FGFR2                                                                                  ['Fgf9']                                
GO:0010763      positive regulation of fibroblast migration                                                                              ['Tkt', 'Apc']                          
GO:0044325      transmembrane transporter binding                                                                                        ['Cabp1', 'Rims4', 'Fmr1']              
R-MMU-5617833   Cilium Assembly                                                                                                          ['Tubb4a', 'Exoc5']                     
GO:0007528      neuromuscular junction development                                                                                       ['Unc13c', 'Cacng2']                    
R-MMU-392170    ADP signalling through P2Y purinoceptor 12                                                                               ['Gnai2']                               
GO:0002089      lens morphogenesis in camera-type eye                                                                                    ['Sox11']                               
GO:0061036      positive regulation of cartilage development                                                                             ['Sox5']                                
