Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Sox6', 'Pou3f1', 'Bcl11b', 'Pou3f4']  
GO:0030426      growth cone                                                                                                              ['Tshz3']                               
GO:0021529      spinal cord oligodendrocyte cell differentiation                                                                         ['Sox6']                                
GO:0035563      positive regulation of chromatin binding                                                                                 ['Ebf2']                                
GO:0071678      olfactory bulb axon guidance                                                                                             ['Bcl11b']                              
GO:0006940      regulation of smooth muscle contraction                                                                                  ['Adra2a']                              
GO:0050995      negative regulation of lipid catabolic process                                                                           ['Adra2a']                              
GO:0046676      negative regulation of insulin secretion                                                                                 ['Adra2a']                              
GO:0098590      plasma membrane region                                                                                                   ['Dscaml1']                             
GO:0045955      negative regulation of calcium ion-dependent exocytosis                                                                  ['Adra2a']                              
GO:0098793      presynapse                                                                                                               ['Adra2a']                              
GO:0001228      DNA-binding transcription activator activity, RNA polymerase II-specific                                                 ['Barhl1', 'Ebf2', 'Neurod2', 'Neurod6', 'Bcl11b']
GO:0009968      negative regulation of signal transduction                                                                               ['Hhip']                                
GO:0005604      basement membrane                                                                                                        ['Hmcn1', 'Npnt']                       
GO:0016338      calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules                                       ['Dscaml1']                             
GO:0001658      branching involved in ureteric bud morphogenesis                                                                         ['Npnt']                                
R-MMU-422356    Regulation of insulin secretion                                                                                          ['Adra2a']                              
GO:0097478      leaflet of membrane bilayer                                                                                              ['Gfra1']                               
GO:0042596      fear response                                                                                                            ['Adra2a']                              
GO:0005509      calcium ion binding                                                                                                      ['Hmcn1', 'Npnt']                       
GO:0016477      cell migration                                                                                                           ['Gfra1']                               
GO:0045761      regulation of adenylate cyclase activity                                                                                 ['Adra2a']                              
GO:0006351      transcription, DNA-templated                                                                                             ['Bnc2']                                
GO:0050731      positive regulation of peptidyl-tyrosine phosphorylation                                                                 ['Gfra1']                               
R-MMU-390696    Adrenoceptors                                                                                                            ['Adra2a']                              
GO:0007409      axonogenesis                                                                                                             ['Bcl11b']                              
GO:0050975      sensory perception of touch                                                                                              ['Tshz3']                               
GO:0022011      myelination in peripheral nervous system                                                                                 ['Pou3f1']                              
GO:0043524      negative regulation of neuron apoptotic process                                                                          ['Barhl1']                              
GO:0070473      negative regulation of uterine smooth muscle contraction                                                                 ['Adra2a']                              
R-MMU-375280    Amine ligand-binding receptors                                                                                           ['Adra2a']                              
GO:0030182      neuron differentiation                                                                                                   ['Gfra1']                               
GO:0120162      positive regulation of cold-induced thermogenesis                                                                        ['Ebf2']                                
GO:0005667      transcription regulator complex                                                                                          ['Sox6', 'Pou3f1']                      
GO:0045211      postsynaptic membrane                                                                                                    ['Adra2a']                              
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Gfra1']                               
GO:0052689      carboxylic ester hydrolase activity                                                                                      ['Mgll']                                
GO:0009966      regulation of signal transduction                                                                                        ['Mgll']                                
GO:0048666      neuron development                                                                                                       ['Neurod2']                             
GO:0007189      adenylate cyclase-activating G protein-coupled receptor signaling pathway                                                ['Adra2a']                              
GO:0045987      positive regulation of smooth muscle contraction                                                                         ['Npnt']                                
GO:0048821      erythrocyte development                                                                                                  ['Sox6']                                
GO:0032148      activation of protein kinase B activity                                                                                  ['Adra2a']                              
