Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Prox1', 'Sox2', 'Zfp423', 'Mef2c', 'Nr2f1', 'Mef2a']
R-MMU-5675221   Negative regulation of MAPK pathway                                                                                      ['Dusp6', 'Mapk3']                      
GO:0016339      calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules                                         ['Atp2c1']                              
GO:0048701      embryonic cranial skeleton morphogenesis                                                                                 ['Wnt9b']                               
GO:0045836      positive regulation of meiotic nuclear division                                                                          ['Ooep', 'Wnt4']                        
R-MMU-71406     Pyruvate metabolism and Citric Acid (TCA) cycle                                                                          ['Me1']                                 
GO:0046452      dihydrofolate metabolic process                                                                                          ['Atic']                                
GO:0098793      presynapse                                                                                                               ['Epha3', 'Cntn6', 'Cyp46a1', 'Rgs7bp'] 
R-MMU-73854     RNA Polymerase I Promoter Clearance                                                                                      ['Mapk3']                               
GO:0046849      bone remodeling                                                                                                          ['Htr1b']                               
GO:0070528      protein kinase C signaling                                                                                               ['Prkch']                               
GO:0009968      negative regulation of signal transduction                                                                               ['Rgs16', 'Rgs20', 'Rgs7bp', 'Gpc1']    
GO:0042310      vasoconstriction                                                                                                         ['Htr1b']                               
GO:0010459      negative regulation of heart rate                                                                                        ['Fkbp1b']                              
GO:0006637      acyl-CoA metabolic process                                                                                               ['Far2']                                
GO:1901532      regulation of hematopoietic progenitor cell differentiation                                                              ['Vegfa']                               
GO:0098591      external side of apical plasma membrane                                                                                  ['Slc7a5']                              
GO:0001958      endochondral ossification                                                                                                ['Mef2c']                               
R-MMU-193704    p75 NTR receptor-mediated signalling                                                                                     ['Vav3']                                
R-MMU-2262752   Cellular responses to stress                                                                                             ['Mapk3', 'Gsr']                        
GO:0097478      leaflet of membrane bilayer                                                                                              ['Gm2a']                                
R-MMU-187577    SCF(Skp2)-mediated degradation of p27/p21                                                                                ['Cks1b']                               
GO:0005003      ephrin receptor activity                                                                                                 ['Epha3']                               
GO:0051209      release of sequestered calcium ion into cytosol                                                                          ['Fkbp1b']                              
GO:0140036      ubiquitin-dependent protein binding                                                                                      ['Dnajb2']                              
GO:0048661      positive regulation of smooth muscle cell proliferation                                                                  ['Vegfa']                               
GO:0048009      insulin-like growth factor receptor signaling pathway                                                                    ['Atxn1', 'Mapk3']                      
GO:0016877      ligase activity, forming carbon-sulfur bonds                                                                             ['Aacs']                                
R-MMU-74182     Ketone body metabolism                                                                                                   ['Aacs']                                
GO:0035790      platelet-derived growth factor receptor-alpha signaling pathway                                                          ['Pdgfa']                               
GO:0071229      cellular response to acid chemical                                                                                       ['S100a10']                             
GO:0006821      chloride transport                                                                                                       ['Glra2', 'Sat1']                       
GO:0002687      positive regulation of leukocyte migration                                                                               ['Kitl']                                
GO:0032000      positive regulation of fatty acid beta-oxidation                                                                         ['Irs2']                                
GO:0070662      mast cell proliferation                                                                                                  ['Kitl']                                
GO:0010719      negative regulation of epithelial to mesenchymal transition                                                              ['Vegfa']                               
GO:0019827      stem cell population maintenance                                                                                         ['Sox2']                                
GO:0034511      U3 snoRNA binding                                                                                                        ['Nhp2']                                
GO:0051260      protein homooligomerization                                                                                              ['Kctd6']                               
GO:0071242      cellular response to ammonium ion                                                                                        ['Kcnq3']                               
GO:0000045      autophagosome assembly                                                                                                   ['Synpo2']                              
GO:0007205      protein kinase C-activating G protein-coupled receptor signaling pathway                                                 ['Htr1b']                               
GO:0000226      microtubule cytoskeleton organization                                                                                    ['Nefh', 'Nefm']                        
GO:0014704      intercalated disc                                                                                                        ['Rangrf']                              
GO:0000038      very long-chain fatty acid metabolic process                                                                             ['Pex2']                                
GO:0007608      sensory perception of smell                                                                                              ['Fzd10']                               
GO:0014069      postsynaptic density                                                                                                     ['Nefh', 'Cap2', 'Nefm', 'Sorcs2', 'Pkp4', 'Kpna2', 'Prkcg', 'Syngap1', 'Zdhhc2', 'Nsmf', 'Adcy1', 'Homer2', 'Ablim1']
GO:1904719      positive regulation of AMPA glutamate receptor clustering                                                                ['Zdhhc2']                              
GO:0038091      positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway    ['Vegfa']                               
GO:0005298      proline:sodium symporter activity                                                                                        ['Slc6a7']                              
GO:0021675      nerve development                                                                                                        ['Kcnq3', 'B4galnt1']                   
R-MMU-9027276   Erythropoietin activates Phosphoinositide-3-kinase (PI3K)                                                                ['Irs2']                                
R-MMU-416993    Trafficking of GluR2-containing AMPA receptors                                                                           ['Prkcg']                               
GO:0030042      actin filament depolymerization                                                                                          ['Wdr1']                                
R-MMU-375280    Amine ligand-binding receptors                                                                                           ['Htr1b']                               
