Molecular/Biological/Cellular Ontology Terms: 

GO:0033189      response to vitamin A                                                                                                    ['Rbp1', 'Lipa']                        
GO:0043565      sequence-specific DNA binding                                                                                            ['Foxb1', 'Pitx2', 'Mafb']              
GO:0043065      positive regulation of apoptotic process                                                                                 ['Cck', 'Ifit2', 'Itga6', 'Slit2', 'Rps6ka2']
GO:0021836      chemorepulsion involved in postnatal olfactory bulb interneuron migration                                                ['Slit2']                               
R-MMU-69613     p53-Independent G1/S DNA damage checkpoint                                                                               ['Cdc25a']                              
GO:0030426      growth cone                                                                                                              ['Nrp1']                                
GO:0005884      actin filament                                                                                                           ['Fblim1']                              
GO:0021637      trigeminal nerve structural organization                                                                                 ['Nrp1']                                
GO:0071322      cellular response to carbohydrate stimulus                                                                               ['Rps6ka2']                             
R-MMU-376176    Signaling by ROBO receptors                                                                                              ['Slit2']                               
GO:0098590      plasma membrane region                                                                                                   ['Cck', 'Calb1']                        
R-MMU-3000170   Syndecan interactions                                                                                                    ['Itga6']                               
GO:0006639      acylglycerol metabolic process                                                                                           ['Dgkb']                                
GO:0098793      presynapse                                                                                                               ['Stxbp5']                              
GO:0090288      negative regulation of cellular response to growth factor stimulus                                                       ['Slit2']                               
R-MMU-1640170   Cell Cycle                                                                                                               ['Cdc25a']                              
GO:0060763      mammary duct terminal end bud growth                                                                                     ['Slit2']                               
GO:0001228      DNA-binding transcription activator activity, RNA polymerase II-specific                                                 ['Pitx2', 'Onecut2', 'Mafb']            
GO:0045637      regulation of myeloid cell differentiation                                                                               ['Mafb']                                
R-MMU-156581    Methylation                                                                                                              ['As3mt']                               
R-MMU-5688426   Deubiquitination                                                                                                         ['Cdc25a']                              
GO:0004143      ATP-dependent diacylglycerol kinase activity                                                                             ['Dgkb']                                
GO:0044255      cellular lipid metabolic process                                                                                         ['Lipa']                                
GO:0003253      cardiac neural crest cell migration involved in outflow tract morphogenesis                                              ['Pitx2']                               
GO:0030314      junctional membrane complex                                                                                              ['Ryr3']                                
GO:0005604      basement membrane                                                                                                        ['Itga6']                               
GO:0030517      negative regulation of axon extension                                                                                    ['Slit2', 'Nrp1']                       
GO:0150020      basal dendrite arborization                                                                                              ['Nrp1']                                
GO:0097478      leaflet of membrane bilayer                                                                                              ['Itga6']                               
GO:0001964      startle response                                                                                                         ['Csmd1']                               
GO:0043231      intracellular membrane-bounded organelle                                                                                 ['Lipa', 'Ryr3', 'Atp2b4']              
GO:0050804      modulation of chemical synaptic transmission                                                                             ['Dgkb']                                
GO:0090068      positive regulation of cell cycle process                                                                                ['Cdc25a']                              
GO:0003676      nucleic acid binding                                                                                                     ['Dhx40']                               
GO:0070986      left/right axis specification                                                                                            ['Pitx2']                               
GO:0016477      cell migration                                                                                                           ['Onecut2']                             
