Molecular/Biological/Cellular Ontology Terms: 

GO:0043065      positive regulation of apoptotic process                                                                                 ['Cck', 'Camk1d']                       
GO:0043565      sequence-specific DNA binding                                                                                            ['Pou3f1', 'Pbx4']                      
GO:0005085      guanyl-nucleotide exchange factor activity                                                                               ['Rasgrp1']                             
GO:0007270      neuron-neuron synaptic transmission                                                                                      ['Arid1b']                              
GO:0005884      actin filament                                                                                                           ['Pls3']                                
GO:0035563      positive regulation of chromatin binding                                                                                 ['Ebf2']                                
R-MMU-73776     RNA Polymerase II Promoter Escape                                                                                        ['Polr2l']                              
R-MMU-73884     Base Excision Repair                                                                                                     ['Pole4']                               
GO:0071387      cellular response to cortisol stimulus                                                                                   ['Klf9']                                
GO:0016339      calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules                                         ['Cdh7']                                
GO:0070831      basement membrane assembly                                                                                               ['Lamb1']                               
GO:0098590      plasma membrane region                                                                                                   ['Cck', 'Calb1', 'Dscaml1', 'Kcnab1', 'Gabrb2']
GO:0032252      secretory granule localization                                                                                           ['Rasgrp1']                             
GO:0019887      protein kinase regulator activity                                                                                        ['Fam58b']                              
GO:0019900      kinase binding                                                                                                           ['Eif4enif1']                           
GO:0051248      negative regulation of protein metabolic process                                                                         ['Itm2a']                               
GO:0035060      brahma complex                                                                                                           ['Arid1b']                              
R-MMU-421270    Cell-cell junction organization                                                                                          ['Cdh7']                                
GO:0032510      endosome to lysosome transport via multivesicular body sorting pathway                                                   ['Ubxn6']                               
R-MMU-73854     RNA Polymerase I Promoter Clearance                                                                                      ['Polr2l']                              
R-MMU-5696398   Nucleotide Excision Repair                                                                                               ['Polr2l', 'Pole4']                     
GO:0016311      dephosphorylation                                                                                                        ['Ptprk', 'Ptprg']                      
R-MMU-1640170   Cell Cycle                                                                                                               ['Lmna', 'Tuba4a', 'Pole4']             
GO:0001228      DNA-binding transcription activator activity, RNA polymerase II-specific                                                 ['Ebf2', 'Klf9']                        
GO:0009968      negative regulation of signal transduction                                                                               ['Hhip']                                
GO:0003824      catalytic activity                                                                                                       ['Camk1d', 'Ckmt1', 'Papss1']           
GO:0009101      glycoprotein biosynthetic process                                                                                        ['Itm2a']                               
GO:0051932      synaptic transmission, GABAergic                                                                                         ['Gabrb2', 'Gabra4', 'Gabra5']          
