Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Pax7', 'Pou2f2']                      
GO:0010453      regulation of cell fate commitment                                                                                       ['Pax7']                                
GO:0007259      receptor signaling pathway via JAK-STAT                                                                                  ['Kit']                                 
GO:0042531      positive regulation of tyrosine phosphorylation of STAT protein                                                          ['Kit']                                 
R-MMU-5673001   RAF/MAP kinase cascade                                                                                                   ['Kit']                                 
GO:0005737      cytoplasm                                                                                                                ['Pou2f2', 'Kit']                       
GO:0005020      stem cell factor receptor activity                                                                                       ['Kit']                                 
GO:0031274      positive regulation of pseudopodium assembly                                                                             ['Kit']                                 
GO:0016310      phosphorylation                                                                                                          ['Kit']                                 
GO:0042169      SH2 domain binding                                                                                                       ['Kit']                                 
GO:0019221      cytokine-mediated signaling pathway                                                                                      ['Kit']                                 
GO:0035162      embryonic hemopoiesis                                                                                                    ['Kit']                                 
GO:0030217      T cell differentiation                                                                                                   ['Kit']                                 
GO:0001228      DNA-binding transcription activator activity, RNA polymerase II-specific                                                 ['Tead1', 'Pou2f2']                     
GO:0048663      neuron fate commitment                                                                                                   ['Pax7']                                
GO:0043069      negative regulation of programmed cell death                                                                             ['Kit']                                 
GO:0002551      mast cell chemotaxis                                                                                                     ['Kit']                                 
R-MMU-6811558   PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling                                                                          ['Kit']                                 
GO:0007275      multicellular organism development                                                                                       ['Pax7', 'Kit']                         
GO:0006824      cobalt ion transport                                                                                                     ['Mmgt2']                               
GO:0005911      cell-cell junction                                                                                                       ['Kit']                                 
GO:1902459      positive regulation of stem cell population maintenance                                                                  ['Tead1']                               
GO:0097067      cellular response to thyroid hormone stimulus                                                                            ['Kit']                                 
GO:0009897      external side of plasma membrane                                                                                         ['Kit']                                 
GO:1902275      regulation of chromatin organization                                                                                     ['Pax7']                                
GO:0043231      intracellular membrane-bounded organelle                                                                                 ['Pou2f2']                              
GO:0008360      regulation of cell shape                                                                                                 ['Kit']                                 
GO:0030183      B cell differentiation                                                                                                   ['Kit']                                 
GO:0006687      glycosphingolipid metabolic process                                                                                      ['Kit']                                 
GO:0005794      Golgi apparatus                                                                                                          ['Mmgt2']                               
GO:0016477      cell migration                                                                                                           ['Kit']                                 
GO:0004714      transmembrane receptor protein tyrosine kinase activity                                                                  ['Kit']                                 
GO:0009986      cell surface                                                                                                             ['Kit']                                 
