Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Neurod1', 'Pax6', 'Zbtb18']           
GO:0043065      positive regulation of apoptotic process                                                                                 ['Neurod1']                             
GO:0002088      lens development in camera-type eye                                                                                      ['Pax6']                                
GO:0071333      cellular response to glucose stimulus                                                                                    ['Neurod1']                             
GO:0060020      Bergmann glial cell differentiation                                                                                      ['Vim']                                 
GO:0002067      glandular epithelial cell differentiation                                                                                ['Pax6', 'Nfib']                        
GO:0021680      cerebellar Purkinje cell layer development                                                                               ['Nfix']                                
GO:0098590      plasma membrane region                                                                                                   ['Vim', 'Lzts1']                        
GO:0019887      protein kinase regulator activity                                                                                        ['Ccnd2']                               
GO:0019900      kinase binding                                                                                                           ['Vim']                                 
GO:0003002      regionalization                                                                                                          ['Pax6']                                
GO:0045098      type III intermediate filament                                                                                           ['Vim']                                 
GO:0021986      habenula development                                                                                                     ['Pax6']                                
GO:0003329      pancreatic PP cell fate commitment                                                                                       ['Neurod1']                             
GO:0042393      histone binding                                                                                                          ['Chd7']                                
GO:0080111      DNA demethylation                                                                                                        ['Pax6']                                
GO:0010880      regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum                                  ['Chd7']                                
R-MMU-1640170   Cell Cycle                                                                                                               ['Ccnd2']                               
GO:0001228      DNA-binding transcription activator activity, RNA polymerase II-specific                                                 ['Neurod1', 'Pax6', 'Nhlh2', 'Zic1', 'Nfix', 'Nfib', 'Nfia']
GO:0048699      generation of neurons                                                                                                    ['Nfix', 'Nfib', 'Nfia']                
GO:0008344      adult locomotory behavior                                                                                                ['Ccnd2']                               
GO:0021549      cerebellum development                                                                                                   ['Neurod1', 'Nfix', 'Zbtb18']           
GO:0008094      ATP-dependent activity, acting on DNA                                                                                    ['Chd7']                                
GO:0001958      endochondral ossification                                                                                                ['Nfix']                                
GO:0061034      olfactory bulb mitral cell layer development                                                                             ['Pax6']                                
GO:0120008      positive regulation of glutamatergic neuron differentiation                                                              ['Pax6']                                
GO:0002232      leukocyte chemotaxis involved in inflammatory response                                                                   ['Mdk']                                 
GO:0043231      intracellular membrane-bounded organelle                                                                                 ['Abca4']                               
GO:0016477      cell migration                                                                                                           ['Insm1', 'Mdk']                        
