Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Fosb', 'Lhx2', 'Irx1', 'Pou3f1', 'Shox2', 'Pou3f4', 'Junb', 'Foxo1', 'Sox6', 'Hey1', 'Cxxc5', 'Ar', 'Trp53', 'Maf', 'Egr1', 'Nr2f6', 'Smad4', 'Pou2f1']
GO:0061975      articular cartilage development                                                                                          ['Pgs1']                                
GO:0048859      formation of anatomical boundary                                                                                         ['Smad4']                               
GO:0008406      gonad development                                                                                                        ['Irx5']                                
GO:0016339      calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules                                         ['Pcdh18']                              
GO:0048701      embryonic cranial skeleton morphogenesis                                                                                 ['Irx5']                                
GO:0048743      positive regulation of skeletal muscle fiber development                                                                 ['Shox2']                               
R-MMU-163841    Gamma carboxylation, hypusine formation and arylsulfatase activation                                                     ['Eif5a2']                              
GO:0030041      actin filament polymerization                                                                                            ['Tmsb15b1']                            
GO:0098793      presynapse                                                                                                               ['Rtn4r', 'Syt10', 'Zfp804a', 'Scrn1', 'Sdcbp', 'Sept8']
GO:0030029      actin filament-based process                                                                                             ['Abracl']                              
R-MMU-5696398   Nucleotide Excision Repair                                                                                               ['Pole4', 'Rfc3']                       
R-MMU-1236394   Signaling by ERBB4                                                                                                       ['Erbb4']                               
GO:0009968      negative regulation of signal transduction                                                                               ['Hhip', 'Grb14']                       
GO:0003697      single-stranded DNA binding                                                                                              ['Rad18', 'Hmces']                      
GO:0000245      spliceosomal complex assembly                                                                                            ['Usp39']                               
GO:0071407      cellular response to organic cyclic compound                                                                             ['Sstr1']                               
GO:0019417      sulfur oxidation                                                                                                         ['Mical2']                              
GO:0051932      synaptic transmission, GABAergic                                                                                         ['Gabra5']                              
GO:0009651      response to salt stress                                                                                                  ['Trp53']                               
GO:0006686      sphingomyelin biosynthetic process                                                                                       ['Osbp']                                
GO:0003899      DNA-directed 5'-3' RNA polymerase activity                                                                               ['Polr3k']                              
R-MMU-2262752   Cellular responses to stress                                                                                             ['Hspa2', 'Ar', 'Trp53', 'Fbxl17']      
R-MMU-422356    Regulation of insulin secretion                                                                                          ['Gng13']                               
GO:0097478      leaflet of membrane bilayer                                                                                              ['Kcnab1', 'Gng13', 'Itga7', 'Gfra1']   
GO:0070411      I-SMAD binding                                                                                                           ['Smad4']                               
GO:0070545      PeBoW complex                                                                                                            ['Pes1']                                
GO:0003190      atrioventricular valve formation                                                                                         ['Hey1', 'Smad4']                       
R-MMU-8848021   Signaling by PTK6                                                                                                        ['Erbb4']                               
GO:0021952      central nervous system projection neuron axonogenesis                                                                    ['Bhlhe22']                             
R-MMU-5651801   PCNA-Dependent Long Patch Base Excision Repair                                                                           ['Pole4', 'Rfc3']                       
GO:0004860      protein kinase inhibitor activity                                                                                        ['Gskip']                               
GO:2000691      negative regulation of cardiac muscle cell myoblast differentiation                                                      ['Prickle1']                            
GO:0048661      positive regulation of smooth muscle cell proliferation                                                                  ['Ar', 'Egr1']                          
GO:0048009      insulin-like growth factor receptor signaling pathway                                                                    ['Ar']                                  
GO:0001741      XY body                                                                                                                  ['Rad18']                               
GO:0071229      cellular response to acid chemical                                                                                       ['Npas4']                               
R-MMU-6785631   ERBB2 Regulates Cell Motility                                                                                            ['Erbb4']                               
GO:0006821      chloride transport                                                                                                       ['Gabra5']                              
GO:0070266      necroptotic process                                                                                                      ['Trp53']                               
GO:0002687      positive regulation of leukocyte migration                                                                               ['Kitl', 'Trp53']                       
