Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Pou3f1', 'Sox6', 'Junb', 'Fos', 'Rorb', 'Klf4', 'Lef1', 'Sp5', 'Bcl11b', 'Pou3f4']
R-MMU-5675221   Negative regulation of MAPK pathway                                                                                      ['Dusp1']                               
GO:0008406      gonad development                                                                                                        ['Irx5']                                
GO:0050995      negative regulation of lipid catabolic process                                                                           ['Adra2a']                              
GO:0016339      calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules                                         ['Cdh7']                                
GO:0016595      glutamate binding                                                                                                        ['Grm7']                                
GO:0048701      embryonic cranial skeleton morphogenesis                                                                                 ['Irx5']                                
GO:0098793      presynapse                                                                                                               ['Adra2a']                              
R-MMU-421270    Cell-cell junction organization                                                                                          ['Cdh7']                                
GO:0009968      negative regulation of signal transduction                                                                               ['Hhip']                                
GO:0071407      cellular response to organic cyclic compound                                                                             ['Sp5']                                 
GO:0051932      synaptic transmission, GABAergic                                                                                         ['Gabra4', 'Gabra5']                    
GO:0001958      endochondral ossification                                                                                                ['Sik3']                                
R-MMU-2262752   Cellular responses to stress                                                                                             ['Fos']                                 
R-MMU-422356    Regulation of insulin secretion                                                                                          ['Adra2a']                              
GO:0097478      leaflet of membrane bilayer                                                                                              ['Gfra1', 'Kcnab1', 'Ajap1']            
GO:0090068      positive regulation of cell cycle process                                                                                ['Lef1']                                
GO:0042596      fear response                                                                                                            ['Adra2a']                              
GO:0006821      chloride transport                                                                                                       ['Gabra4', 'Gabra5']                    
GO:0090292      nuclear matrix anchoring at nuclear membrane                                                                             ['Syne1']                               
GO:0002687      positive regulation of leukocyte migration                                                                               ['Kitl']                                
GO:0005881      cytoplasmic microtubule                                                                                                  ['Mtus2']                               
GO:0070662      mast cell proliferation                                                                                                  ['Kitl']                                
GO:1903753      negative regulation of p38MAPK cascade                                                                                   ['Dusp1']                               
GO:0008361      regulation of cell size                                                                                                  ['Rap1gap2']                            
GO:0019827      stem cell population maintenance                                                                                         ['Klf4']                                
GO:0022011      myelination in peripheral nervous system                                                                                 ['Pou3f1']                              
GO:0001659      temperature homeostasis                                                                                                  ['Acadl']                               
GO:0051260      protein homooligomerization                                                                                              ['Prmt8', 'Kctd12']                     
GO:0000226      microtubule cytoskeleton organization                                                                                    ['Sik3']                                
GO:0050428      3'-phosphoadenosine 5'-phosphosulfate biosynthetic process                                                               ['Papss1']                              
R-MMU-375280    Amine ligand-binding receptors                                                                                           ['Adra2a']                              
GO:0061312      BMP signaling pathway involved in heart development                                                                      ['Nog']                                 
R-MMU-8953897   Cellular responses to stimuli                                                                                            ['Fos']                                 
GO:0005667      transcription regulator complex                                                                                          ['Pou3f1', 'Sox6', 'Junb', 'Fos', 'Klf4', 'Lef1']
GO:0032587      ruffle membrane                                                                                                          ['Ptprz1']                              
GO:0045211      postsynaptic membrane                                                                                                    ['Adra2a', 'Gabra4', 'Kctd12', 'Gabra5', 'Cacna1h', 'Prrt1', 'Grm7', 'Syne1', 'Ptprz1']
GO:0044877      protein-containing complex binding                                                                                       ['Nog', 'Fos', 'Ajap1']                 
GO:0098662      inorganic cation transmembrane transport                                                                                 ['Cacna1h']                             
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Kitl', 'Gfra1', 'Dusp1']              
GO:0021943      formation of radial glial scaffolds                                                                                      ['Lef1']                                
GO:0004674      protein serine/threonine kinase activity                                                                                 ['Sik3']                                
GO:0106134      positive regulation of cardiac muscle cell contraction                                                                   ['Cacna1h']                             
GO:0090027      negative regulation of monocyte chemotaxis                                                                               ['Dusp1']                               
GO:0090190      positive regulation of branching involved in ureteric bud morphogenesis                                                  ['Nog']                                 
GO:0034707      chloride channel complex                                                                                                 ['Gabra4', 'Gabra5']                    
R-MMU-5173214   O-glycosylation of TSR domain-containing proteins                                                                        ['Spon1', 'Thsd7a']                     
GO:0007193      adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway                                                ['Grm7']                                
GO:1900116      extracellular negative regulation of signal transduction                                                                 ['Zfp653']                              
GO:0030218      erythrocyte differentiation                                                                                              ['Sox6']                                
GO:0051019      mitogen-activated protein kinase binding                                                                                 ['Dusp1']                               
GO:0002763      positive regulation of myeloid leukocyte differentiation                                                                 ['Kitl']                                
GO:0031532      actin cytoskeleton reorganization                                                                                        ['Thsd7a']                              
GO:0032342      aldosterone biosynthetic process                                                                                         ['Cacna1h']                             
GO:0051258      protein polymerization                                                                                                   ['Sept2']                               
GO:0048786      presynaptic active zone                                                                                                  ['Grm7']                                
GO:0006816      calcium ion transport                                                                                                    ['Cacna1h']                             
GO:0097227      sperm annulus                                                                                                            ['Sept2']                               
GO:0007405      neuroblast proliferation                                                                                                 ['Hhip']                                
GO:0000987      cis-regulatory region sequence-specific DNA binding                                                                      ['Sox6', 'Lef1']                        
R-MMU-1650814   Collagen biosynthesis and modifying enzymes                                                                              ['Col26a1']                             
GO:0005216      monoatomic ion channel activity                                                                                          ['Gabra4', 'Gabra5', 'Cacna1h']         
GO:0046549      retinal cone cell development                                                                                            ['Rorb']                                
GO:0005262      calcium channel activity                                                                                                 ['Cacna1h']                             
GO:0090148      membrane fission                                                                                                         ['Sept2']                               
GO:0005739      mitochondrion                                                                                                            ['Acadl', 'Fars2']                      
GO:0010977      negative regulation of neuron projection development                                                                     ['Rap1gap2']                            
GO:0035019      somatic stem cell population maintenance                                                                                 ['Nog', 'Klf4']                         
GO:0045165      cell fate commitment                                                                                                     ['Sox6']                                
GO:0045669      positive regulation of osteoblast differentiation                                                                        ['Npnt']                                
GO:0032713      negative regulation of interleukin-4 production                                                                          ['Lef1']                                
GO:0050693      LBD domain binding                                                                                                       ['Spon1']                               
GO:0008203      cholesterol metabolic process                                                                                            ['Vldlr']                               
GO:0050808      synapse organization                                                                                                     ['Prrt1']                               
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Wfs1', 'Zfp653']                      
R-MMU-9013148   CDC42 GTPase cycle                                                                                                       ['Dock10']                              
R-MMU-2871796   FCERI mediated MAPK activation                                                                                           ['Fos']                                 
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Klf4']                                
GO:0050685      positive regulation of mRNA processing                                                                                   ['Adarb1']                              
GO:0010043      response to zinc ion                                                                                                     ['Pam']                                 
GO:0060425      lung morphogenesis                                                                                                       ['Nog']                                 
GO:0061045      negative regulation of wound healing                                                                                     ['Ajap1']                               
GO:0070742      C2H2 zinc finger domain binding                                                                                          ['Lef1']                                
GO:0005902      microvillus                                                                                                              ['Myo1b']                               
GO:0016328      lateral plasma membrane                                                                                                  ['Bves']                                
GO:0017134      fibroblast growth factor binding                                                                                         ['Ptprz1']                              
GO:0098962      regulation of postsynaptic neurotransmitter receptor activity                                                            ['Nptx2']                               
GO:0051379      epinephrine binding                                                                                                      ['Adra2a']                              
GO:1903817      negative regulation of voltage-gated potassium channel activity                                                          ['Kcnab1']                              
GO:0045184      establishment of protein localization                                                                                    ['Npnt']                                
GO:0097730      non-motile cilium                                                                                                        ['Sept2']                               
GO:0035162      embryonic hemopoiesis                                                                                                    ['Kitl']                                
GO:0031398      positive regulation of protein ubiquitination                                                                            ['Wfs1']                                
GO:0048708      astrocyte differentiation                                                                                                ['Sox6']                                
