Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Klf4', 'Ascl1', 'Foxp2', 'Mef2c']     
GO:0004526      ribonuclease P activity                                                                                                  ['Rpp25']                               
GO:0045836      positive regulation of meiotic nuclear division                                                                          ['Ooep']                                
R-MMU-3000170   Syndecan interactions                                                                                                    ['Prkca']                               
R-MMU-71406     Pyruvate metabolism and Citric Acid (TCA) cycle                                                                          ['Pdp2']                                
GO:0030041      actin filament polymerization                                                                                            ['Tmsb15b2']                            
GO:0098793      presynapse                                                                                                               ['Gria1', 'Unc13c']                     
GO:0045842      positive regulation of mitotic metaphase/anaphase transition                                                             ['Rb1']                                 
R-MMU-204174    Regulation of pyruvate dehydrogenase (PDH) complex                                                                       ['Pdp2']                                
GO:0009968      negative regulation of signal transduction                                                                               ['Snx13', 'Ripor2']                     
GO:0032691      negative regulation of interleukin-1 beta production                                                                     ['Igf1']                                
GO:0001958      endochondral ossification                                                                                                ['Mef2c']                               
R-MMU-2262752   Cellular responses to stress                                                                                             ['Scaf1', 'Rb1']                        
R-MMU-422356    Regulation of insulin secretion                                                                                          ['Prkca']                               
GO:0021885      forebrain cell migration                                                                                                 ['Emx2']                                
GO:0002523      leukocyte migration involved in inflammatory response                                                                    ['Cd24a']                               
GO:0048661      positive regulation of smooth muscle cell proliferation                                                                  ['Igf1', 'Prkca']                       
GO:0048009      insulin-like growth factor receptor signaling pathway                                                                    ['Igf1']                                
GO:0006821      chloride transport                                                                                                       ['Gabrr1']                              
GO:0120199      cone photoreceptor outer segment                                                                                         ['Prkca']                               
GO:0070266      necroptotic process                                                                                                      ['Itpk1']                               
GO:0005881      cytoplasmic microtubule                                                                                                  ['Tubg2']                               
GO:1903055      positive regulation of extracellular matrix organization                                                                 ['Rb1']                                 
GO:0050694      galactose 3-O-sulfotransferase activity                                                                                  ['Gal3st3']                             
GO:0019827      stem cell population maintenance                                                                                         ['Klf4', 'Trim8']                       
GO:0051260      protein homooligomerization                                                                                              ['Adcy8', 'Ripor2']                     
GO:0071242      cellular response to ammonium ion                                                                                        ['Gria1']                               
GO:0000226      microtubule cytoskeleton organization                                                                                    ['Pard3b']                              
GO:0014704      intercalated disc                                                                                                        ['Prkca']                               
GO:0007608      sensory perception of smell                                                                                              ['Igf1']                                
GO:0014069      postsynaptic density                                                                                                     ['Shisa8', 'Adcy8', 'Cabp1', 'Tmem108', 'Adgrb1', 'Cap2', 'Gria1']
GO:0016917      GABA receptor activity                                                                                                   ['Gabrr1']                              
GO:0021675      nerve development                                                                                                        ['Nrp2']                                
GO:0031048      small ncRNA-mediated heterochromatin formation                                                                           ['Fam172a']                             
R-MMU-416993    Trafficking of GluR2-containing AMPA receptors                                                                           ['Gria1', 'Prkca']                      
GO:0014823      response to activity                                                                                                     ['Cry1']                                
R-MMU-8849932   Synaptic adhesion-like molecules                                                                                         ['Gria1']                               
GO:0031210      phosphatidylcholine binding                                                                                              ['Scarb2']                              
R-MMU-8953897   Cellular responses to stimuli                                                                                            ['Scaf1', 'Rb1']                        
GO:0005667      transcription regulator complex                                                                                          ['Klf4', 'Sox5', 'Hdac9', 'Rb1', 'Tle4']
GO:0032587      ruffle membrane                                                                                                          ['Cdkl5']                               
GO:0044877      protein-containing complex binding                                                                                       ['Gabrr1', 'Tgfb3', 'Ctbp2', 'Carmil1'] 
GO:0045211      postsynaptic membrane                                                                                                    ['Gabrr1', 'Shisa8', 'Adgrb1', 'Gria1', 'Nrp2']
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Prkcq', 'Fgf9']                       
GO:0004674      protein serine/threonine kinase activity                                                                                 ['Prkcq', 'Hunk', 'Cdk19', 'Cdkl5', 'Prkca', 'Stk40']
GO:0005080      protein kinase C binding                                                                                                 ['Hdac9']                               
GO:1905075      positive regulation of tight junction disassembly                                                                        ['Tgfb3']                               
GO:0034707      chloride channel complex                                                                                                 ['Gabrr1']                              
GO:0034739      histone H4K16 deacetylase activity                                                                                       ['Hdac9']                               
GO:0030010      establishment of cell polarity                                                                                           ['Pard3b']                              
R-MMU-5173214   O-glycosylation of TSR domain-containing proteins                                                                        ['Adamtsl1']                            
GO:0001947      heart looping                                                                                                            ['Mef2c']                               
GO:0034451      centriolar satellite                                                                                                     ['Prkcq', 'Rpp25']                      
GO:0051450      myoblast proliferation                                                                                                   ['Igf1']                                
R-MMU-3238698   WNT ligand biogenesis and trafficking                                                                                    ['Wnt3']                                
GO:0031532      actin cytoskeleton reorganization                                                                                        ['Carmil1']                             
GO:0097440      apical dendrite                                                                                                          ['Rgs12']                               
GO:0046716      muscle cell cellular homeostasis                                                                                         ['Prkca']                               
GO:0048786      presynaptic active zone                                                                                                  ['Adcy8', 'Rims4', 'Unc13c']            
GO:0015275      stretch-activated, monoatomic cation-selective, calcium channel activity                                                 ['Tmem28']                              
GO:0046597      negative regulation of viral entry into host cell                                                                        ['Trim8']                               
GO:0005743      mitochondrial inner membrane                                                                                             ['Scaf1']                               
GO:0097154      GABAergic neuron differentiation                                                                                         ['Ascl1']                               
GO:0045880      positive regulation of smoothened signaling pathway                                                                      ['Fgf9']                                
GO:0007405      neuroblast proliferation                                                                                                 ['Ascl1', 'Cd24a']                      
GO:0006959      humoral immune response                                                                                                  ['Mef2c']                               
GO:0000987      cis-regulatory region sequence-specific DNA binding                                                                      ['Sox5', 'Mef2c']                       
GO:0005216      monoatomic ion channel activity                                                                                          ['Gabrr1', 'Gria1']                     
GO:0005262      calcium channel activity                                                                                                 ['Tmem28']                              
GO:0005739      mitochondrion                                                                                                            ['Pdp2', 'Nudt9', 'Scaf1', 'Cry1', 'Prkca']
GO:0010977      negative regulation of neuron projection development                                                                     ['Prag1', 'Bcl11a']                     
GO:0035019      somatic stem cell population maintenance                                                                                 ['Klf4']                                
R-MMU-70268     Pyruvate metabolism                                                                                                      ['Pdp2']                                
GO:1901673      regulation of mitotic spindle assembly                                                                                   ['Ripor2']                              
GO:0045165      cell fate commitment                                                                                                     ['Wnt3', 'Sox5', 'Mef2c']               
GO:0045669      positive regulation of osteoblast differentiation                                                                        ['Cd276', 'Igf1', 'Mef2c']              
GO:0031489      myosin V binding                                                                                                         ['Gria1']                               
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Lmo1', 'Hdac9', 'Ctbp2', 'Cry1', 'Rb1', 'Tle4', 'Bcl11a', 'Mef2c']
R-MMU-9013148   CDC42 GTPase cycle                                                                                                       ['Arhgap42']                            
GO:2000111      positive regulation of macrophage apoptotic process                                                                      ['Mef2c']                               
GO:0060079      excitatory postsynaptic potential                                                                                        ['Mef2c']                               
GO:0030666      endocytic vesicle membrane                                                                                               ['Scarb2']                              
R-MMU-1638091   Heparan sulfate/heparin (HS-GAG) metabolism                                                                              ['Hs3st3a1', 'Hs3st3b1']                
R-MMU-2559586   DNA Damage/Telomere Stress Induced Senescence                                                                            ['Rb1']                                 
GO:0098582      innate vocalization behavior                                                                                             ['Foxp2']                               
GO:0030318      melanocyte differentiation                                                                                               ['Mef2c']                               
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Klf4', 'Ctbp2', 'Tle4', 'Nrp2']       
GO:0034713      type I transforming growth factor beta receptor binding                                                                  ['Tgfb3']                               
GO:0097374      sensory neuron axon guidance                                                                                             ['Nrp2']                                
GO:0006417      regulation of translation                                                                                                ['Igf1']                                
R-MMU-5654227   Phospholipase C-mediated cascade; FGFR3                                                                                  ['Fgf9']                                
GO:0060736      prostate gland growth                                                                                                    ['Igf1']                                
GO:0060425      lung morphogenesis                                                                                                       ['Stk40']                               
GO:0008024      cyclin/CDK positive transcription elongation factor complex                                                              ['Rb1']                                 
GO:0031297      replication fork processing                                                                                              ['Ooep']                                
GO:0034351      negative regulation of glial cell apoptotic process                                                                      ['Prkca']                               
GO:0006910      phagocytosis, recognition                                                                                                ['Adgrb1']                              
GO:0050806      positive regulation of synaptic transmission                                                                             ['Rims4', 'Gria1']                      
GO:0048566      embryonic digestive tract development                                                                                    ['Fgf9']                                
GO:0045184      establishment of protein localization                                                                                    ['Mcc', 'Ripor2']                       
GO:0014032      neural crest cell development                                                                                            ['Fam172a']                             
GO:0070534      protein K63-linked ubiquitination                                                                                        ['Trim8']                               
R-MMU-111933    Calmodulin induced events                                                                                                ['Adcy8', 'Prkca']                      
GO:1903904      negative regulation of establishment of T cell polarity                                                                  ['Ripor2']                              
GO:0031398      positive regulation of protein ubiquitination                                                                            ['Cry1']                                
GO:0090090      negative regulation of canonical Wnt signaling pathway                                                                   ['Mcc', 'Siah2', 'Tle4']                
R-MMU-163615    PKA activation                                                                                                           ['Adcy8']                               
GO:0048505      regulation of timing of cell differentiation                                                                             ['Fgf9']                                
GO:0030879      mammary gland development                                                                                                ['Tgfb3', 'Igf1']                       
GO:0001816      cytokine production                                                                                                      ['D1Ertd622e']                          
GO:0044305      calyx of Held                                                                                                            ['Prkca', 'Unc13c']                     
GO:0008270      zinc ion binding                                                                                                         ['Siah2', 'Zmat4', 'Fbxl19', 'Zmat1', 'Cdo1', 'Pdzrn3', 'March4', 'Prkca']
GO:0021987      cerebral cortex development                                                                                              ['Emx2', 'Ascl1']                       
GO:0035869      ciliary transition zone                                                                                                  ['D1Ertd622e']                          
GO:0009897      external side of plasma membrane                                                                                         ['Cd276', 'Cd24a']                      
GO:0097193      intrinsic apoptotic signaling pathway                                                                                    ['Prkca']                               
GO:0045766      positive regulation of angiogenesis                                                                                      ['Prkca']                               
GO:0030672      synaptic vesicle membrane                                                                                                ['Cplx3', 'Gria1', 'Unc13c']            
GO:0060290      transdifferentiation                                                                                                     ['Mef2c']                               
GO:0006954      inflammatory response                                                                                                    ['Prkcq', 'Hdac9', 'D1Ertd622e']        
R-MMU-3858494   Beta-catenin independent WNT signaling                                                                                   ['Prkca']                               
GO:0008033      tRNA processing                                                                                                          ['Rpp25']                               
